bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
985785,672983,2017-07-20,Senate,"Place On Highway Table RC #399",17,14,0,4,35
986294,740234,2018-04-17,Senate,"Reconsideration - Veto RC #638",35,0,0,0,35
986294,740235,2018-04-18,House,"Reconsideration - Veto RC #625",146,2,0,3,151
986334,668425,2017-06-21,Senate,"Reconsideration - Veto RC #367",34,0,0,1,35
986334,668426,2017-06-22,House,"Reconsideration - Veto RC #377",126,17,0,8,151
986374,738952,2018-04-17,House,"Reconsideration - Veto RC #605",135,9,0,7,151
986374,739140,2018-04-17,Senate,"Reconsideration - Veto RC #641",35,0,0,0,35
986494,649334,2017-05-24,House,"Acc Maj Otp As Amended Rep RC #157",87,58,0,6,151
986494,673394,2017-08-02,House,"Reconsideration - Veto RC #447",83,54,0,14,151
986536,634500,2017-04-27,House,"Acc Maj Ought Not To Pass Rep RC #54",78,66,0,7,151
986774,629007,2017-04-20,Senate,"Accept Min Ontp Rpt RC #84",20,14,0,1,35
986857,651568,2017-05-23,Senate,"Accept Maj Ontp Rpt RC #158",18,16,0,1,35
986897,652206,2017-05-24,House,"Acc Min Otp As Amended Rep RC #150",53,90,0,8,151
988094,640895,2017-05-09,Senate,"Accept Maj Ontp Rpt RC #117",21,12,0,2,35
988094,642918,2017-05-11,House,"Acc Min Otp As Amended Rep RC #84",60,88,0,3,151
988381,663464,2017-06-15,Senate,"Veto Override (2/3) RC #310",34,1,0,0,35
988381,664461,2017-06-16,House,"Reconsideration - Veto RC #334",99,42,0,10,151
988573,643274,2017-05-11,House,"Acc Report 'a' Otp As Amend RC #92",78,66,0,7,151
988573,648508,2017-05-23,House,"Enactment - Emer RC #133",78,66,0,7,151
988573,667136,2017-06-19,House,"Reconsideration - Veto RC #337",81,65,0,5,151
988590,668705,2017-06-22,House,"Commit To Edu RC #374",75,70,0,6,151
988590,668706,2017-06-23,House,"Recede RC #392",93,48,0,10,151
988590,670668,2017-06-27,House,"Indef Postpone Bill & Papers RC #403",79,66,0,6,151
988607,658497,2017-06-06,Senate,"Accept Min Otp Rpt RC #231",18,17,0,0,35
988640,637866,2017-05-04,House,"Acc Maj Ought Not To Pass Rep RC #74",76,64,0,11,151
988657,662247,2017-06-13,House,"Acceptance Of Committee Report RC #307",145,2,0,4,151
988728,667322,2017-06-21,Senate,"Accept Rpt 'a' Otp-a RC #363",30,4,0,1,35
988728,668691,2017-06-23,House,"Adopt Hdh-551 To Cas-265 RC #393",63,79,0,9,151
988728,668692,2017-06-23,House,"Passage To Be Engrossed RC #394",140,0,0,11,151
988728,669198,2017-06-27,House,"Enactment RC #409",143,0,0,8,151
988745,644552,2017-05-11,Senate,"Reconsideration - Veto RC #123",31,0,0,4,35
988745,644553,2017-05-16,House,"Reconsideration - Veto RC #97",141,4,0,6,151
988834,652945,2017-05-25,Senate,"Accept Min Ontp Rpt RC #182",16,19,0,0,35
988917,649728,2017-05-25,House,"Acc Maj Otp As Amended Rep RC #163",111,31,0,9,151
988968,654997,2017-05-31,House,"Acc Maj Otp As Amended Rep RC #196",74,65,0,12,151
988985,645855,2017-05-17,House,"Acc Maj Otp As Amended Rep RC #115",75,70,0,6,151
988985,656771,2017-06-01,Senate,"Accept Min Ontp Rpt RC #214",18,16,0,1,35
989004,664203,2017-06-13,House,"Acc Maj Otp As Amended Rep RC #306",83,65,0,3,151
